Label,Name,ID,Namespace,Abs­tract,Substi­tu­tion Group,Type,Per­iod Type,Bal­ance,Nillable,Typed Domain Ref,Facets,Doc­u­men­ta­tion
esrs:CoverageRateOfEmployeesInCountryEeaThatAreCoveredByCollectiveBargainingAgreements,CoverageRateOfEmployeesInCountryEeaThatAreCoveredByCollectiveBargainingAgreements,esrs_CoverageRateOfEmployeesInCountryEeaThatAreCoveredByCollectiveBargainingAgreements,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationItemType,duration,,true,,pattern=[A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*,
esrs:CoverageRateOfEmployeesInRegionNoneeaThatAreCoveredByCollectiveBargainingAgreements,CoverageRateOfEmployeesInRegionNoneeaThatAreCoveredByCollectiveBargainingAgreements,esrs_CoverageRateOfEmployeesInRegionNoneeaThatAreCoveredByCollectiveBargainingAgreements,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationItemType,duration,,true,,pattern=[A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*,
esrs:CredibleProxiesMember,CredibleProxiesMember,esrs_CredibleProxiesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:CulturalRightsMember,CulturalRightsMember,esrs_CulturalRightsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:CurrentlyStatedBaselineMilestonesOrTargetYearsAxis,CurrentlyStatedBaselineMilestonesOrTargetYearsAxis,esrs_CurrentlyStatedBaselineMilestonesOrTargetYearsAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrldt:dimensionItem,xbrli:stringItemType,duration,,true,,,
esrs:CurrentlyStatedBaselineMilestonesOrTargetYearsMember,CurrentlyStatedBaselineMilestonesOrTargetYearsMember,esrs_CurrentlyStatedBaselineMilestonesOrTargetYearsMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:CurrentlyStatedCorrectedOrRevisedRetrospectiveMember,CurrentlyStatedCorrectedOrRevisedRetrospectiveMember,esrs_CurrentlyStatedCorrectedOrRevisedRetrospectiveMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:DataSourcesAxis,DataSourcesAxis,esrs_DataSourcesAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrldt:dimensionItem,xbrli:stringItemType,duration,,true,,,
esrs:DataSourcesBiodiversityAndEcosystemsChange,DataSourcesBiodiversityAndEcosystemsChange,esrs_DataSourcesBiodiversityAndEcosystemsChange,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DataSourcesMember,DataSourcesMember,esrs_DataSourcesMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,true,xbrli:item,dtr-types:domainItemType,duration,,true,,length=0,
esrs:DataSourcesResourceInflows,DataSourcesResourceInflows,esrs_DataSourcesResourceInflows,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DataSourcesResourceOutflows,DataSourcesResourceOutflows,esrs_DataSourcesResourceOutflows,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DataSourcesWaterConsumption,DataSourcesWaterConsumption,esrs_DataSourcesWaterConsumption,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DataSourcesWaterRecycledAndReused,DataSourcesWaterRecycledAndReused,esrs_DataSourcesWaterRecycledAndReused,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DataSourcesWaterStored,DataSourcesWaterStored,esrs_DataSourcesWaterStored,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,enum2:enumerationSetItemType,duration,,true,,pattern=([A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*( [A-Za-z][-A-Za-z0-9+-.]*:\S+#[_A-Za-zÀ-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�][_\-\.·A-Za-z0-9À-ÖØ-öø-ÿĀ-˿Ͱ-ͽͿ-῿‌-‍⁰-↏Ⰰ-⿯、-퟿豈-﷏ﷰ-�̀-ͯ‿-⁀]*)*)?,
esrs:DatapointId,DatapointId,esrs_DatapointId,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,link:part,xsd:string,,,false,,,
esrs:DateOfAdoptionOfTransitionPlanForUndertakingNotHavingAdoptedTransitionPlanYet,DateOfAdoptionOfTransitionPlanForUndertakingNotHavingAdoptedTransitionPlanYet,esrs_DateOfAdoptionOfTransitionPlanForUndertakingNotHavingAdoptedTransitionPlanYet,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,false,xbrli:item,xbrli:dateItemType,duration,,true,,,
