Resource Relationships,,,Arcrole,Resource,ResourceRole,Language,Name,Namespace,LocalName,References
,esrs:DescriptionOfKeyCharacteristicsOfEmployeesInOwnWorkforceExplanatory,,,esrs:DescriptionOfKeyCharacteristicsOfEmployeesInOwnWorkforceExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfKeyCharacteristicsOfEmployeesInOwnWorkforceExplanatory, ESRS S1 48 S1-6 Main Mandatory subject to MA
,,ESRS S1 48 S1-6 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ExplanationOfAnyPotentialDifferencesBetweenSignificantOpExAndCapExDisclosedUnderESRSE1AndKeyPerformanceIndicatorsDisclosedUnderCommissionDelegatedRegulationEU2021NO2178TextBlockExplanatory,,,esrs:ExplanationOfAnyPotentialDifferencesBetweenSignificantOpExAndCapExDisclosedUnderESRSE1AndKeyPerformanceIndicatorsDisclosedUnderCommissionDelegatedRegulationEU2021NO2178TextBlockExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ExplanationOfAnyPotentialDifferencesBetweenSignificantOpExAndCapExDisclosedUnderESRSE1AndKeyPerformanceIndicatorsDisclosedUnderCommissionDelegatedRegulationEU2021NO2178TextBlockExplanatory, ESRS E1 AR 22 E1-3 Main Mandatory subject to MA
,,ESRS E1 AR 22 E1-3 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfHowMonetaryValueOfInkindContributionsIsEstimatedExplanatory,,,esrs:DisclosureOfHowMonetaryValueOfInkindContributionsIsEstimatedExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfHowMonetaryValueOfInkindContributionsIsEstimatedExplanatory, ESRS G1 29 b G1-5 ii Main Mandatory subject to MA Conditional G1-5_07
,,ESRS G1 29 b G1-5 ii Main Mandatory subject to MA Conditional G1-5_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:CapitalExpendituresCapExInConjunctionWithMajorIncidentsAndDeposits,,,esrs:CapitalExpendituresCapExInConjunctionWithMajorIncidentsAndDeposits,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,CapitalExpendituresCapExInConjunctionWithMajorIncidentsAndDeposits, ESRS E2 40 b E2-6 AR 31 Main Mandatory subject to MA E2-6_05
,,ESRS E2 40 b E2-6 AR 31 Main Mandatory subject to MA E2-6_05,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:OperatingExpendituresOpExInConjunctionWithMajorIncidentsAndDeposits,,,esrs:OperatingExpendituresOpExInConjunctionWithMajorIncidentsAndDeposits,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,OperatingExpendituresOpExInConjunctionWithMajorIncidentsAndDeposits, ESRS E2 40 b E2-6 AR 31 Main Mandatory subject to MA E2-6_04
,,ESRS E2 40 b E2-6 AR 31 Main Mandatory subject to MA E2-6_04,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToCapExPlanRequiredByCommissionDelegatedRegulationEU2021NO2178Explanatory,,,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToCapExPlanRequiredByCommissionDelegatedRegulationEU2021NO2178Explanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToCapExPlanRequiredByCommissionDelegatedRegulationEU2021NO2178Explanatory," ESRS E1 29 c E1-3 iii AR 20 Main Mandatory subject to MA Conditional E1-3_08,  ESRS E4 AR 18 c E4-3 Main Voluntary Conditional E4-3_07,  ESRS E1 16 c E1-1 Main Mandatory subject to MA"
,,ESRS E1 29 c E1-3 iii AR 20 Main Mandatory subject to MA Conditional E1-3_08,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E4 AR 18 c E4-3 Main Voluntary Conditional E4-3_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 16 c E1-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:InformationAboutHowPoliciesAreCommunicatedToThoseForWhomTheyAreRelevantPreventionAndDetectionOfCorruptionAndBriberyExplanatory,,,esrs:InformationAboutHowPoliciesAreCommunicatedToThoseForWhomTheyAreRelevantPreventionAndDetectionOfCorruptionAndBriberyExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,InformationAboutHowPoliciesAreCommunicatedToThoseForWhomTheyAreRelevantPreventionAndDetectionOfCorruptionAndBriberyExplanatory, ESRS G1 20 G1-3 Main Mandatory subject to MA G1-3_05
,,ESRS G1 20 G1-3 Main Mandatory subject to MA G1-3_05,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToKeyPerformanceIndicatorsRequiredUnderCommissionDelegatedRegulationEU2021NO2178Explanatory,,,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToKeyPerformanceIndicatorsRequiredUnderCommissionDelegatedRegulationEU2021NO2178Explanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToKeyPerformanceIndicatorsRequiredUnderCommissionDelegatedRegulationEU2021NO2178Explanatory," ESRS E1 29 c E1-3 ii AR 22 Main Mandatory subject to MA E1-3_07,  ESRS E4 AR 18 b E4-3 Main Voluntary Conditional E4-3_06,  ESRS E1 16 c E1-1 Main Mandatory subject to MA"
,,ESRS E1 29 c E1-3 ii AR 22 Main Mandatory subject to MA E1-3_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E4 AR 18 b E4-3 Main Voluntary Conditional E4-3_06,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E1 16 c E1-1 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfRoleOfAdministrativeManagementAndSupervisoryBodiesRelatedToBusinessConductExplanatory,,,esrs:DisclosureOfRoleOfAdministrativeManagementAndSupervisoryBodiesRelatedToBusinessConductExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfRoleOfAdministrativeManagementAndSupervisoryBodiesRelatedToBusinessConductExplanatory, ESRS G1 5 a GOV-1 Main Mandatory subject to MA G1.GOV-1_01
,,ESRS G1 5 a GOV-1 Main Mandatory subject to MA G1.GOV-1_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargets,,,esrs:OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargets,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargets, ESRS S1 47 b S1-5 Main Mandatory subject to MA S1-5_02
,,ESRS S1 47 b S1-5 Main Mandatory subject to MA S1-5_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargetsExplanatory,,,esrs:DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargetsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInTrackingPerformanceAgainstTargetsExplanatory, ESRS S1 47 b S1-5 Main Mandatory subject to MA S1-5_02
,,ESRS S1 47 b S1-5 Main Mandatory subject to MA S1-5_02,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAxis,,,esrs:MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAxis," ESRS S2 11 c SBM-3,  ESRS S3 9 b SBM-3,  ESRS S4 10 b SBM-3"
,,ESRS S2 11 c SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 9 b SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 10 b SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersMember,,,esrs:MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,MaterialNegativeImpactsOccurrenceValueChainWorkersAffectedCommunitiesConsumersAndEndUsersMember," ESRS S2 11 c SBM-3,  ESRS S3 9 b SBM-3,  ESRS S4 10 b SBM-3"
,,ESRS S2 11 c SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 9 b SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 10 b SBM-3,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:MaterialNegativeImpactsOccurrenceWorkersInValueChainWorkersAffectedCommunitiesConsumersAndEndUsers,,,esrs:MaterialNegativeImpactsOccurrenceWorkersInValueChainWorkersAffectedCommunitiesConsumersAndEndUsers,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,MaterialNegativeImpactsOccurrenceWorkersInValueChainWorkersAffectedCommunitiesConsumersAndEndUsers," ESRS S2 11 c SBM-3 Main Mandatory subject to MA Conditional S2.SBM-3_05,  ESRS S3 9 b SBM-3 Main Mandatory subject to MA Conditional S3.SBM-3_04,  ESRS S4 10 b SBM-3 Main Mandatory subject to MA Conditional S4.SBM-3_04"
,,ESRS S2 11 c SBM-3 Main Mandatory subject to MA Conditional S2.SBM-3_05,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 9 b SBM-3 Main Mandatory subject to MA Conditional S3.SBM-3_04,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 10 b SBM-3 Main Mandatory subject to MA Conditional S4.SBM-3_04,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToRelevantLineItemsOrNotesInFinancialStatementsExplanatory,,,esrs:ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToRelevantLineItemsOrNotesInFinancialStatementsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,ExplanationOfRelationshipOfSignificantCapExAndOpExRequiredToImplementActionsTakenOrPlannedToRelevantLineItemsOrNotesInFinancialStatementsExplanatory," ESRS E1 29 c E1-3 i Main Mandatory subject to MA,  ESRS E4 AR 18 a E4-3 Related"
,,ESRS E1 29 c E1-3 i Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS E4 AR 18 a E4-3 Related,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfIncidentsOfCorruptionOrBriberyExplanatory,,,esrs:DisclosureOfIncidentsOfCorruptionOrBriberyExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfIncidentsOfCorruptionOrBriberyExplanatory, ESRS G1 22 G1-4 Main Mandatory subject to MA
,,ESRS G1 22 G1-4 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfPolicyToPreventLatePaymentsSpecificallyToSmesExplanatory,,,esrs:DescriptionOfPolicyToPreventLatePaymentsSpecificallyToSmesExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfPolicyToPreventLatePaymentsSpecificallyToSmesExplanatory, ESRS G1 14 G1-2 AR 2 - AR 3 Overlapping Mandatory subject to MA G1-2_01
,,ESRS G1 14 G1-2 AR 2 - AR 3 Overlapping Mandatory subject to MA G1-2_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformanceExplanatory,,,esrs:DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformanceExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfHowOwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformanceExplanatory, ESRS S1 47 c S1-5 Main Mandatory subject to MA S1-5_03
,,ESRS S1 47 c S1-5 Main Mandatory subject to MA S1-5_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformance,,,esrs:OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformance,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,OwnWorkforceOrWorkersRepresentativesWereEngagedDirectlyInIdentifyingLessonsOrImprovementsAsResultOfUndertakingsPerformance, ESRS S1 47 c S1-5 Main Mandatory subject to MA S1-5_03
,,ESRS S1 47 c S1-5 Main Mandatory subject to MA S1-5_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:TypeOfGHGsConcernedForRemovalAndStorageActivity,,,esrs:TypeOfGHGsConcernedForRemovalAndStorageActivity,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,TypeOfGHGsConcernedForRemovalAndStorageActivity, ESRS E1 AR 57 a E1-7 Main Mandatory subject to MA
,,ESRS E1 AR 57 a E1-7 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:AverageNumberOfDaysToPayInvoiceFromDateWhenContractualOrStatutoryTermOfPaymentStartsToBeCalculated,,,esrs:AverageNumberOfDaysToPayInvoiceFromDateWhenContractualOrStatutoryTermOfPaymentStartsToBeCalculated,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,AverageNumberOfDaysToPayInvoiceFromDateWhenContractualOrStatutoryTermOfPaymentStartsToBeCalculated, ESRS G1 33 a G1-6 Main Mandatory subject to MA G1-6_01
,,ESRS G1 33 a G1-6 Main Mandatory subject to MA G1-6_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfPotentialToBenefitFromMaterialClimaterelatedOpportunitiesExplanatory,,,esrs:DisclosureOfPotentialToBenefitFromMaterialClimaterelatedOpportunitiesExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfPotentialToBenefitFromMaterialClimaterelatedOpportunitiesExplanatory," ESRS E1 64 c E1-9 AR80-81 Main Mandatory subject to MA,  Commission Delegated Regulation (EU) 2020/1818 Annex 2 Related"
,,ESRS E1 64 c E1-9 AR80-81 Main Mandatory subject to MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,Commission Delegated Regulation (EU) 2020/1818 Annex 2 Related,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfMainTopicsCoveredByLobbyingActivitiesAndUndertakingsMainPositionsOnTheseTopicsExplanatory,,,esrs:DisclosureOfMainTopicsCoveredByLobbyingActivitiesAndUndertakingsMainPositionsOnTheseTopicsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfMainTopicsCoveredByLobbyingActivitiesAndUndertakingsMainPositionsOnTheseTopicsExplanatory, ESRS G1 29 c G1-5 AR 14 Main Mandatory subject to MA G1-5_09
,,ESRS G1 29 c G1-5 AR 14 Main Mandatory subject to MA G1-5_09,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DisclosureOfIntendedOrAchievedPositiveOutcomesOfProgrammesOrProcessesForPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory,,,esrs:DisclosureOfIntendedOrAchievedPositiveOutcomesOfProgrammesOrProcessesForPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DisclosureOfIntendedOrAchievedPositiveOutcomesOfProgrammesOrProcessesForPeopleInOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory," ESRS S1 AR 40 b S1-4 Overlapping Voluntary S1-4_17,  ESRS S4 AR 33 b S4-4 Overlapping Voluntary S4-4_16,  ESRS S2 AR 36 b S2-4 Overlapping Voluntary S2-4_16,  ESRS S3 AR 34 b S3-4 Overlapping Voluntary S3-4_16"
,,ESRS S1 AR 40 b S1-4 Overlapping Voluntary S1-4_17,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 AR 33 b S4-4 Overlapping Voluntary S4-4_16,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 AR 36 b S2-4 Overlapping Voluntary S2-4_16,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 AR 34 b S3-4 Overlapping Voluntary S3-4_16,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfProceduresInPlaceToPreventDetectAndAddressAllegationsOrIncidentsOfCorruptionAndBriberyExplanatory,,,esrs:DescriptionOfProceduresInPlaceToPreventDetectAndAddressAllegationsOrIncidentsOfCorruptionAndBriberyExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfProceduresInPlaceToPreventDetectAndAddressAllegationsOrIncidentsOfCorruptionAndBriberyExplanatory, ESRS G1 18 a G1-3 AR 5 - AR 6 Main Mandatory subject to MA G1-3_01
,,ESRS G1 18 a G1-3 AR 5 - AR 6 Main Mandatory subject to MA G1-3_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfHowItIsEnsuredThatProcessesToProvideOrEnableRemedyInEventOfMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersAreAvailableAndEffectiveInTheirImplementationAndOutcomesExplanatory,,,esrs:DescriptionOfHowItIsEnsuredThatProcessesToProvideOrEnableRemedyInEventOfMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersAreAvailableAndEffectiveInTheirImplementationAndOutcomesExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfHowItIsEnsuredThatProcessesToProvideOrEnableRemedyInEventOfMaterialNegativeImpactsOnValueChainWorkersNOAffectedCommunitiesNOConsumersAndEndusersAreAvailableAndEffectiveInTheirImplementationAndOutcomesExplanatory," ESRS S4 32 c S4-4 Main Mandatory subject to MA S4-4_07,  ESRS S2 33 c S2-4 Main Mandatory subject to MA S2-4_07,  ESRS S3 33 c S3-4 Main Mandatory subject to MA S3-4_07"
,,ESRS S4 32 c S4-4 Main Mandatory subject to MA S4-4_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 33 c S2-4 Main Mandatory subject to MA S2-4_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 33 c S3-4 Main Mandatory subject to MA S3-4_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfWhatActionIsPlannedOrUnderwayToPursueMaterialOpportunitiesInRelationToOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory,,,esrs:DescriptionOfWhatActionIsPlannedOrUnderwayToPursueMaterialOpportunitiesInRelationToOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfWhatActionIsPlannedOrUnderwayToPursueMaterialOpportunitiesInRelationToOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersExplanatory," ESRS S1 40 b S1-4 Main Mandatory subject to MA S1-4_07,  ESRS S4 33 b S4-4 Main Mandatory subject to MA S4-4_09,  ESRS S2 34 b S2-4 Main Mandatory subject to MA S2-4_09,  ESRS S3 34 b S3-4 Main Mandatory subject to MA S3-4_09"
,,ESRS S1 40 b S1-4 Main Mandatory subject to MA S1-4_07,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S4 33 b S4-4 Main Mandatory subject to MA S4-4_09,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S2 34 b S2-4 Main Mandatory subject to MA S2-4_09,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,,ESRS S3 34 b S3-4 Main Mandatory subject to MA S3-4_09,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:InformationAboutRepresentativesResponsibleInAdministrativeManagementAndSupervisoryBodiesForOversightOfActivitiesRelatedToExertingPoliticalInfluenceAndLobbyingExplanatory,,,esrs:InformationAboutRepresentativesResponsibleInAdministrativeManagementAndSupervisoryBodiesForOversightOfActivitiesRelatedToExertingPoliticalInfluenceAndLobbyingExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,InformationAboutRepresentativesResponsibleInAdministrativeManagementAndSupervisoryBodiesForOversightOfActivitiesRelatedToExertingPoliticalInfluenceAndLobbyingExplanatory, ESRS G1 29 a G1-5 Main Mandatory subject to MA Conditional G1-5_01
,,ESRS G1 29 a G1-5 Main Mandatory subject to MA Conditional G1-5_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:DescriptionOfWhatActionIsPlannedOrUnderwayToMitigateMaterialRisksArisingFromImpactsAndDependenciesOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAndHowEffectivenessIsTrackedExplanatory,,,esrs:DescriptionOfWhatActionIsPlannedOrUnderwayToMitigateMaterialRisksArisingFromImpactsAndDependenciesOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAndHowEffectivenessIsTrackedExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfWhatActionIsPlannedOrUnderwayToMitigateMaterialRisksArisingFromImpactsAndDependenciesOnOwnWorkforceValueChainWorkersAffectedCommunitiesConsumersAndEndusersAndHowEffectivenessIsTrackedExplanatory," ESRS S4 33 a S4-4 AR 37 - AR 38, AR 40 Main Mandatory subject to MA S4-4_08,  ESRS S1 40 a S1-4 AR 44 - AR 45, AR 47 Main Mandatory subject to MA S1-4_06,  ESRS S2 34 a S2-4 AR 40 - AR 41, AR 43 Main Mandatory subject to MA S2-4_08,  ESRS S3 34 a S3-4 AR 38 - AR 40, AR 42 Main Mandatory subject to MA S3-4_08"
,,"ESRS S4 33 a S4-4 AR 37 - AR 38, AR 40 Main Mandatory subject to MA S4-4_08",http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
