Resource Relationships,,,Arcrole,Resource,ResourceRole,Language,Name,Namespace,LocalName,References
,esrs:DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory,,,esrs:DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,DescriptionOfSpecificSustainabilityrelatedTargetsAndOrImpactsUsedToAssessPerformanceOfMembersOfAdministrativeManagementAndSupervisoryBodiesExplanatory, ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA GOV-3_03
,,ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA GOV-3_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies,,,esrs:PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,PerformanceAgainstSpecificSustainabilityrelatedTargetsAndOrImpactsIsBeingAssessedInIncentiveSchemesForMembersOfAdministrativeManagementAndSupervisoryBodies, ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA
,,ESRS ESRS 2 29 b GOV-3 Main Mandatory irrespective of MA,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:LayerInMitigationHierarchyForPollutionAxis,,,esrs:LayerInMitigationHierarchyForPollutionAxis,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,LayerInMitigationHierarchyForPollutionAxis, ESRS E2 19 E2-2
,,ESRS E2 19 E2-2,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:LayerInMitigationHierarchyForPollutionMember,,,esrs:LayerInMitigationHierarchyForPollutionMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,LayerInMitigationHierarchyForPollutionMember, ESRS E2 19 E2-2
,,ESRS E2 19 E2-2,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:LayersInMitigationHierarchyToWhichResourcesCanBeAllocatedPollution,,,esrs:LayersInMitigationHierarchyToWhichResourcesCanBeAllocatedPollution,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,LayersInMitigationHierarchyToWhichResourcesCanBeAllocatedPollution, ESRS E2 19 E2-2 AR 14 Main Voluntary E2-2_03
,,ESRS E2 19 E2-2 AR 14 Main Voluntary E2-2_03,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:LayersInMitigationHierarchyToWhichActionCanBeAllocatedPollution,,,esrs:LayersInMitigationHierarchyToWhichActionCanBeAllocatedPollution,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,LayersInMitigationHierarchyToWhichActionCanBeAllocatedPollution, ESRS E2 19 E2-2 Main Voluntary E2-2_01
,,ESRS E2 19 E2-2 Main Voluntary E2-2_01,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:InformationAboutEffectivenessOfProcessesForEngagingWithOwnWorkforceFromPreviousReportingPeriodsExplanatory,,,esrs:InformationAboutEffectivenessOfProcessesForEngagingWithOwnWorkforceFromPreviousReportingPeriodsExplanatory,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,InformationAboutEffectivenessOfProcessesForEngagingWithOwnWorkforceFromPreviousReportingPeriodsExplanatory, ESRS S1 AR 26 S1-2 Main Voluntary Conditional S1-2_15
,,ESRS S1 AR 26 S1-2 Main Voluntary Conditional S1-2_15,http://www.xbrl.org/2003/arcrole/concept-reference,reference,http://www.xbrl.org/2003/role/reference,,link:reference,http://www.xbrl.org/2003/linkbase,reference,
,esrs:OtherInvesteesExcludedFromConsolidatedAccountingGroupIncludingContractualArrangementsOperationalControlMember,,,esrs:OtherInvesteesExcludedFromConsolidatedAccountingGroupIncludingContractualArrangementsOperationalControlMember,https://xbrl.efrag.org/taxonomy/esrs/2023-12-22,OtherInvesteesExcludedFromConsolidatedAccountingGroupIncludingContractualArrangementsOperationalControlMember, ESRS E1 50 b E1-6
